Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation
,Marci,Ien,Toronto Centre,Ontario,Liberal
,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal
,Tamara,Jansen,Cloverdale—Langley City,British Columbia,Conservative
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal
Hon.,Bernadette,Jordan,South Shore—St. Margarets,Nova Scotia,Liberal
,Majid,Jowhari,Richmond Hill,Ontario,Liberal
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative
Hon.,Peter,Kent,Thornhill,Ontario,Conservative
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal
,Kamal,Khera,Brampton West,Ontario,Liberal
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative
,Annie,Koutrakis,Vimy,Quebec,Liberal
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal
,Jenny,Kwan,Vancouver East,British Columbia,NDP
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative
,Marie-France,Lalonde,Orléans,Ontario,Liberal
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal
,Paul,Lefebvre,Sudbury,Ontario,Liberal
,Richard,Lehoux,Beauce,Quebec,Conservative
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois
,Chris,Lewis,Essex,Ontario,Conservative
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative
,Ben,Lobb,Huron—Bruce,Ontario,Conservative
,Wayne,Long,Saint John—Rothesay,New Brunswick,Liberal
,Lloyd,Longfield,Guelph,Ontario,Liberal
,Tim,Louis,Kitchener—Conestoga,Ontario,Liberal
,Tom,Lukiwski,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal
